time_difference,公告日期,证券代码,证券简称,违规年度
1.0,2022,4,ST 国华,2021.0
4.0,2019,300104,乐视网,2015.0
3.0,2021,5,ST 星源,2018.0
3.0,2019,300104,乐视网,2016.0
2.0,2021,5,ST 星源,2019.0
2.0,2019,300104,乐视网,2017.0
1.0,2021,5,ST 星源,2020.0
1.0,2019,300104,乐视网,2018.0
2.0,2021,851,高鸿股份,2019.0
0.0,2021,5,ST 星源,2021.0
2.0,2022,300110,华仁药业,2020.0
0.0,2019,300431,暴风集团,2019.0
7.0,2021,7,*ST 全新,2014.0
4.0,2019,300113,顺网科技,2015.0
0.0,2018,8,神州高铁,2018.0
1.0,2017,300116,坚瑞沃能,2016.0
3.0,2020,2456,欧菲光,2017.0
6.0,2018,9,中国宝安,2012.0
7.0,2017,300117,嘉寓股份,2010.0
2.0,2022,2321,ST 华英,2020.0
2.0,2017,10,美丽生态,2015.0
6.0,2017,300117,嘉寓股份,2011.0
3.0,2019,300247,融捷健康,2016.0
6.0,2019,12,南玻A,2013.0
5.0,2017,300117,嘉寓股份,2012.0
2.0,2019,300247,融捷健康,2017.0
5.0,2019,12,南玻A,2014.0
4.0,2017,300117,嘉寓股份,2013.0
1.0,2021,688171,纬德信息,2020.0
4.0,2019,12,南玻A,2015.0
3.0,2017,300117,嘉寓股份,2014.0
3.0,2022,300213,佳讯飞鸿,2019.0
0.0,2020,16,深康佳A,2020.0
2.0,2017,300117,嘉寓股份,2015.0
3.0,2020,18,神城A退,2017.0
1.0,2020,300119,瑞普生物,2019.0
2.0,2020,18,神城A退,2018.0
2.0,2021,300119,瑞普生物,2019.0
1.0,2019,600988,赤峰黄金,2018.0
1.0,2022,20,深华发A,2021.0
3.0,2022,300139,晓程科技,2019.0
2.0,2023,23,深天地A,2021.0
1.0,2019,300140,中环装备,2018.0
1.0,2023,23,深天地A,2022.0
2.0,2021,300146,汤臣倍健,2019.0
0.0,2023,23,深天地A,2023.0
1.0,2018,300152,科融环境,2017.0
3.0,2019,688317,之江生物,2016.0
0.0,2022,34,神州数码,2022.0
2.0,2019,300152,科融环境,2017.0
2.0,2021,36,华联控股,2019.0
4.0,2019,300152,科融环境,2015.0
5.0,2018,38,深大通,2013.0
3.0,2019,300152,科融环境,2016.0
1.0,2020,40,东旭蓝天,2019.0
7.0,2022,300152,科融环境,2015.0
0.0,2021,300478,杭州高新,2021.0
0.0,2020,40,东旭蓝天,2020.0
6.0,2022,300152,科融环境,2016.0
4.0,2020,995,*ST 皇台,2016.0
4.0,2019,42,中洲控股,2015.0
5.0,2022,300152,科融环境,2017.0
4.0,2021,605566,福莱蒽特,2017.0
3.0,2019,42,中洲控股,2016.0
4.0,2022,300152,科融环境,2018.0
2.0,2021,300105,龙源技术,2019.0
2.0,2019,48,*ST 康达,2017.0
3.0,2022,300152,科融环境,2019.0
1.0,2019,48,*ST 康达,2018.0
7.0,2022,300156,神雾退,2015.0
1.0,2020,300339,润和软件,2019.0
1.0,2019,55,方大集团,2018.0
6.0,2022,300156,神雾退,2016.0
0.0,2021,56,皇庭国际,2021.0
5.0,2022,300156,神雾退,2017.0
2.0,2021,300213,佳讯飞鸿,2019.0
5.0,2022,68,华控赛格,2017.0
4.0,2022,300156,神雾退,2018.0
1.0,2021,300051,ST 三五,2020.0
6.0,2022,70,特发信息,2016.0
4.0,2023,300158,振东制药,2019.0
4.0,2022,2065,东华软件,2018.0
5.0,2022,70,特发信息,2017.0
3.0,2023,300158,振东制药,2020.0
3.0,2022,2065,东华软件,2019.0
4.0,2022,70,特发信息,2018.0
8.0,2023,300159,ST 新研,2015.0
5.0,2022,2368,太极股份,2017.0
3.0,2022,70,特发信息,2019.0
7.0,2023,300159,ST 新研,2016.0
4.0,2022,2368,太极股份,2018.0
2.0,2022,70,特发信息,2020.0
